tournament_id,year,group_name,team,played,won,drawn,lost,goals_for,goals_against,points,goal_diff,group_rank
WC-2002,2002,Group F,Sweden,3,1,2,0,4,3,5,1,1
WC-2002,2002,Group F,England,3,1,2,0,2,1,5,1,2
WC-2002,2002,Group F,Argentina,3,1,1,1,2,2,4,0,3
WC-2002,2002,Group F,Nigeria,3,0,1,2,1,3,1,-2,4
WC-2002,2002,Group G,Mexico,3,2,1,0,4,2,7,2,1
WC-2002,2002,Group G,Italy,3,1,1,1,4,3,4,1,2
WC-2002,2002,Group G,Croatia,3,1,0,2,2,3,3,-1,3
WC-2002,2002,Group G,Ecuador,3,1,0,2,2,4,3,-2,4
WC-2002,2002,Group H,Japan,3,2,1,0,5,2,7,3,1
WC-2002,2002,Group H,Belgium,3,1,2,0,6,5,5,1,2
WC-2002,2002,Group H,Russia,3,1,0,2,4,4,3,0,3
WC-2002,2002,Group H,Tunisia,3,0,1,2,1,5,1,-4,4
WC-2006,2006,Group A,Germany,3,3,0,0,8,2,9,6,1
WC-2006,2006,Group A,Ecuador,3,2,0,1,5,3,6,2,2
WC-2006,2006,Group A,Poland,3,1,0,2,2,4,3,-2,3
WC-2006,2006,Group A,Costa Rica,3,0,0,3,3,9,0,-6,4
WC-2006,2006,Group B,England,3,2,1,0,5,2,7,3,1
WC-2006,2006,Group B,Sweden,3,1,2,0,3,2,5,1,2
WC-2006,2006,Group B,Paraguay,3,1,0,2,2,2,3,0,3
WC-2006,2006,Group B,Trinidad and Tobago,3,0,1,2,0,4,1,-4,4
WC-2006,2006,Group C,Argentina,3,2,1,0,8,1,7,7,1
WC-2006,2006,Group C,Netherlands,3,2,1,0,3,1,7,2,2
WC-2006,2006,Group C,Ivory Coast,3,1,0,2,5,6,3,-1,3
WC-2006,2006,Group C,Serbia and Montenegro,3,0,0,3,2,10,0,-8,4
WC-2006,2006,Group D,Portugal,3,3,0,0,5,1,9,4,1
WC-2006,2006,Group D,Mexico,3,1,1,1,4,3,4,1,2
